respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
e88ded6c4ee5,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
c50b4fc543d4,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
be9772120305,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
543bddcaa488,9,Smooth experience so far except internet not working issue faced few times.,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
b8b80c4a59d5,0,Recharge mahanga hai,Expensive,,,Verma,,0,WA,Sprint RSP3,2026-03-01
0bae8762eca4,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
ec0a753fb806,8,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
3086d513c523,5,Representatives gud behavir gud talking,Good Partner/ Techinician Support ,,,Verma,,0,WA,Sprint RSP3,2026-03-01
065930e031bc,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
8bae7d722418,10,Speed achi h,Good Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
528b2dad73ce,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
cca0af50a12d,10,Speed achi hai net ki,Good Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
05138e677a31,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
f85d7e660d32,8,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
8d34b2f6f72f,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
0ba80e1aa5bc,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1c1c5fbdc65d,0,Roj net ruk kar chalta h or kabhi nhi chalta bhut bekar h,Frequent Disconnections,,,Verma,,0,WA,Sprint RSP3,2026-03-01
316f60d9f04b,10,Speed fast h,Good Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
3cddd6b966a4,10,Speed is good,Good Speed,,,Verma,,0,CT,Sprint RSP3,2026-03-01
