respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
9713a105dd09,10,Dhanyawad wiom aise seva provide karne ke liye,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
380a41016882,9,,,,,Verma,,45,CT,Sprint 3,2026-08-01
8bbecc085732,10,Easy subkuchh,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
939a8179f990,10,Excellent,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
67a3879eee33,10,Experience,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
746846002aca,10,Good,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
6666770ca429,7,Good,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
cc585d22c6ba,10,Good,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
c3c958659cb0,10,Good,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
bc8e39812774,10,Good,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
f1f5d89ed683,7,Good,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
72f11bf58899,9,Good,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
45f65b273374,10,Good,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
13e0648c90a0,10,Good,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
102b315c337f,10,Good,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
b02528d4d897,8,Good,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
4e8eb3256e33,10,Good,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
2c8bfb023e0c,10,,,,,Verma,,45,CT,Sprint 3,2026-08-01
2b56c6ffb8ef,10,Good ðŸ‘_x008d_ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜Š,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
8023f3323806,10,Good Experience,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
783b227a7957,10,Good h,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
