feature,verdict,reason,tenure_r,churn_r,fill_overall,fill_gap
secondary_theme_score,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",-0.008686055958963296,-0.015828739977128106,0.42069758528171713,0.10684054100118051
mentions_28day,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
mentions_competitor,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
competitor_names,EXCLUDE,Very low fill rate (0%),,,0.0013031812955155231,-6.910484272327263e-06
mentions_amount,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
partner_status_at_survey,EXCLUDE,Target leakage — mechanically linked to churn definition,,,0.8298965120735914,0.41399113021330536
partner_avg_resolution_hours,CLEAN,Passes all checks,0.027946360626143318,0.03076414294607385,1.0,0.0
partner_sla_compliance,CLEAN,Passes all checks,-0.012422300425081039,-0.1187915450676549,1.0,0.0
partner_avg_tickets,NORMALIZE,Tenure-biased absolute count (r=+0.216) — normalize to per-month rate,0.21633039924956673,0.009147335582999228,1.0,0.0
partner_churn_rate,EXCLUDE,Target leakage — mechanically linked to churn definition,-0.038282877361735496,0.3093926959584521,1.0,0.0
partner_avg_nps,CLEAN,Passes all checks,-0.08196349065750252,-0.08605831576845493,1.0,0.0
partner_customer_count,CLEAN,Passes all checks,0.14586119811341516,-0.08528430587888254,1.0,0.0
partner_fcr_rate,CLEAN,Passes all checks,-0.1329826217289761,-0.03661269514655809,1.0,0.0
partner_repeat_rate,CLEAN,Passes all checks,0.13525873175152,0.05925694697703628,1.0,0.0
partner_median_install_tat,CLEAN,Passes all checks,-0.0237269245036392,-0.011598649380433357,1.0,0.0
resolution_vs_partner,CLEAN,Passes all checks,0.0046198293407290775,0.050799503711985626,1.0,0.0
sla_vs_partner,CLEAN,Passes all checks,-0.04762406130242275,-0.07933340954289361,1.0,0.0
tickets_vs_partner,NORMALIZE,Tenure-biased absolute count (r=+0.248) — normalize to per-month rate,0.2480921752678526,-0.05932573298423227,1.0,0.0
install_delayed,CLEAN,Passes all checks,-0.11012321494559198,0.018769976610845764,1.0,0.0
install_tat_hours_w,CLEAN,Passes all checks,-0.09475243728814034,-0.0016345916844260594,1.0,0.0
avg_resolution_hours_w,CLEAN,Passes all checks,0.00865453840742788,0.08361266236570987,1.0,0.0
recharge_same_day,EXCLUDE,Target leakage — mechanically linked to churn definition,-0.0393723859830526,-0.001973194711796638,1.0,0.0
AVG_INSTALL_TAT_MINS_w,CLEAN,Passes all checks,-0.0668120548579324,0.018668458696816423,1.0,0.0
partner_risk_level,EXCLUDE,Target leakage — mechanically linked to churn definition,0.04925281431432725,0.05877044873983116,1.0,0.0
partner_at_risk,EXCLUDE,Target leakage — mechanically linked to churn definition,0.04903107404204456,0.05232873713424137,1.0,0.0
support_effort_index,NORMALIZE,Tenure-biased absolute count (r=+0.323) — normalize to per-month rate,0.32314227002248136,-0.03840402756468278,1.0,0.0
network_quality_index,CLEAN,Passes all checks,-0.07984944326573234,0.0038156134224326494,1.0,0.0
missed_call_ratio,CLEAN,Passes all checks,-0.049979699624727876,0.07532442070493507,1.0,0.0
autopay_ratio,CLEAN,Passes all checks,-0.04120790805223611,-0.06338817088869872,1.0,0.0
ticket_severity,CLEAN,Passes all checks,0.027031087509813513,-0.20654818138034176,1.0,0.0
city_Mumbai,CLEAN,Passes all checks,-0.04222019905325946,0.013604296098695137,1.0,0.0
city_UP,CLEAN,Passes all checks,-0.12062359543750521,0.08348830790098091,1.0,0.0
city_Unknown,REVIEW,Moderate tenure correlation (r=-0.224) — verify not spurious,-0.2238158374663205,-0.12843337406592842,1.0,0.0
tenure_Establishing (61-120d),EXCLUDE,Near-zero variance — 99% same value,-0.1806546649454307,-0.05054794929706788,1.0,0.0
tenure_Loyal (270d+),EXCLUDE,Near-zero variance — 97% same value,0.35648334255966446,0.10384783139442359,1.0,0.0
tenure_Onboarding (0-15d),EXCLUDE,Near-zero variance — 100% same value,-0.09976622292315666,-0.024242252184346256,1.0,0.0
tenure_Steady State (121-270d),EXCLUDE,Near-zero variance — 99% same value,-0.19304212162219977,-0.06653671056720262,1.0,0.0
channel_Call,EXCLUDE,Near-zero variance — 99% same value,-0.018752218094276206,0.041599196739196896,1.0,0.0
channel_G- form in WA,EXCLUDE,Near-zero variance — 95% same value,0.0491938331041116,0.03094496265556755,1.0,0.0
channel_In - WA,CLEAN,Passes all checks,-0.09374385634855474,0.13537980042622585,1.0,0.0
channel_WA,CLEAN,Passes all checks,0.0760876261006477,-0.14988538820039407,1.0,0.0
is_first_time_wifi,CLEAN,Passes all checks,-0.003434709748836785,-0.15501587473446457,1.0,0.0
paymode_cash,EXCLUDE,Near-zero variance — 97% same value,0.046027396789951415,-0.0010331303735804207,1.0,0.0
paymode_online,CLEAN,Passes all checks,0.007909344321449524,0.050140413694458055,1.0,0.0
paymode_unknown,EXCLUDE,Near-zero variance — 100% same value,0.013401567120738525,0.026253689213317943,1.0,0.0
is_cash_payment,EXCLUDE,Target leakage — mechanically linked to churn definition,-0.14250943986782622,0.034542774004707434,1.0,0.0
device_PD,EXCLUDE,Near-zero variance — 100% same value,0.013734973261169734,-0.004843987987293432,1.0,0.0
device_SY,CLEAN,Passes all checks,0.01701097982969952,-0.05203395552856888,1.0,0.0
device_TP,REVIEW,Moderate tenure correlation (r=+0.445) — verify not spurious,0.44491605761554515,-0.03807522268001302,1.0,0.0
theme_billing_28day,EXCLUDE,Near-zero variance — 100% same value,0.02184646539938202,0.01273788969428396,1.0,0.0
theme_call_center_bad,EXCLUDE,Near-zero variance — 100% same value,0.010901197996201824,0.013898160345385204,1.0,0.0
theme_competitor_comparison,EXCLUDE,Near-zero variance — 100% same value,-0.013550321378796528,-0.007802441530870619,1.0,0.0
theme_complaint_resolution_bad,EXCLUDE,Near-zero variance — 99% same value,0.023534138749260473,-0.007751817999705098,1.0,0.0
theme_disconnection_frequency,CLEAN,Passes all checks,0.03725586614734106,-0.03544562542267296,1.0,0.0
theme_general_negative,EXCLUDE,Near-zero variance — 98% same value,0.0215905127933871,0.011249830869537356,1.0,0.0
theme_general_positive,CLEAN,Passes all checks,-0.007369608628206416,-0.05912955104855878,1.0,0.0
theme_good_speed,EXCLUDE,Near-zero variance — 99% same value,-0.016007716962886966,-0.0194966761675484,1.0,0.0
theme_internet_down_outage,EXCLUDE,Near-zero variance — 99% same value,0.023794807067951958,-0.009341226830697302,1.0,0.0
theme_other,CLEAN,Passes all checks,-0.05774632988887481,0.09190858611133827,1.0,0.0
theme_ott_content,EXCLUDE,Near-zero variance — 100% same value,-0.00584103578051051,-0.006859227190618202,1.0,0.0
theme_pricing_affordable,EXCLUDE,Near-zero variance — 99% same value,0.004032461631012184,-0.03686651104757367,1.0,0.0
theme_pricing_expensive,EXCLUDE,Near-zero variance — 100% same value,0.018186496559392543,0.007576286832007861,1.0,0.0
theme_range_coverage,EXCLUDE,Near-zero variance — 99% same value,0.01740256352532419,-0.004167246152663146,1.0,0.0
theme_router_device,EXCLUDE,Near-zero variance — 100% same value,-0.005158538290537022,0.015853863636508578,1.0,0.0
theme_slow_speed,CLEAN,Passes all checks,0.006748823214391286,-0.03521422566906209,1.0,0.0
theme_unclassified,CLEAN,Passes all checks,0.027156645761206213,-0.024917943338851653,1.0,0.0
